"No.","Time","Source","Destination","Protocol","Length","Info","capture"
"8257","22.718571","1.2.1","host","USB","28","URB_BULK in","01"
"8258","22.718606","host","1.2.1","USB","27","URB_BULK in",""
"8259","22.719623","1.2.1","host","USB","28","URB_BULK in","00"
"8260","22.719650","host","1.2.1","USB","27","URB_BULK in",""
"8261","22.720638","1.2.1","host","USB","28","URB_BULK in","00"
"8262","22.720667","host","1.2.1","USB","27","URB_BULK in",""
"8263","22.720869","host","1.2.0","USB","36","URB_CONTROL in",""
"8264","22.721686","1.2.1","host","USB","28","URB_BULK in","23"
"8265","22.721716","host","1.2.1","USB","27","URB_BULK in",""
"8266","22.722326","1.2.0","host","USB","47","URB_CONTROL in",""
"8267","22.722714","1.2.1","host","USB","28","URB_BULK in","7f"
"8268","22.722744","host","1.2.1","USB","27","URB_BULK in",""
"8271","22.723748","1.2.1","host","USB","28","URB_BULK in","01"
"8272","22.723777","host","1.2.1","USB","27","URB_BULK in",""
"8273","22.724792","1.2.1","host","USB","28","URB_BULK in","08"
"8274","22.724824","host","1.2.1","USB","27","URB_BULK in",""
"8275","22.725829","1.2.1","host","USB","28","URB_BULK in","00"
"8276","22.725848","host","1.2.1","USB","27","URB_BULK in",""
"8277","22.726858","1.2.1","host","USB","28","URB_BULK in","00"
"8278","22.726875","host","1.2.1","USB","27","URB_BULK in",""
"8279","22.727904","1.2.1","host","USB","28","URB_BULK in","05"
"8280","22.727933","host","1.2.1","USB","27","URB_BULK in",""
"8281","22.728938","1.2.1","host","USB","28","URB_BULK in","00"
"8282","22.728967","host","1.2.1","USB","27","URB_BULK in",""
"8283","22.729981","1.2.1","host","USB","28","URB_BULK in","00"
"8284","22.730009","host","1.2.1","USB","27","URB_BULK in",""
"8285","22.731015","1.2.1","host","USB","28","URB_BULK in","00"
"8286","22.731043","host","1.2.1","USB","27","URB_BULK in",""
"8289","22.732052","1.2.1","host","USB","28","URB_BULK in","02"
"8290","22.732082","host","1.2.1","USB","27","URB_BULK in",""
"8291","22.733097","1.2.1","host","USB","28","URB_BULK in","32"
"8292","22.733132","host","1.2.1","USB","27","URB_BULK in",""
"8293","22.734133","1.2.1","host","USB","28","URB_BULK in","00"
"8294","22.734164","host","1.2.1","USB","27","URB_BULK in",""
"8295","22.735165","1.2.1","host","USB","28","URB_BULK in","00"
"8296","22.735195","host","1.2.1","USB","27","URB_BULK in",""
